ticker,signal_type,direction,signal_date,entry_date,entry_price,stop_price,target_price,outcome,exit_date,exit_price,days_held,r_multiple
HWM,RSI 약세 다이버전스,bearish,2026-02-09 05:00:00-05:00,2026-02-09 09:00:00-05:00,223.16,226.51,216.47,stop,2026-02-09 17:00:00-05:00,226.51,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-10 01:00:00-05:00,2026-02-10 05:00:00-05:00,225.15,228.53,218.4,stop,2026-02-11 05:00:00-05:00,228.53,5,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-10 17:00:00-05:00,2026-02-11 01:00:00-05:00,226.38,229.78,219.59,stop,2026-02-11 09:00:00-05:00,229.78,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-13 05:00:00-05:00,2026-02-13 09:00:00-05:00,245.0,248.68,237.65,stop,2026-02-13 09:00:00-05:00,248.68,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-13 13:00:00-05:00,2026-02-13 17:00:00-05:00,250.15,253.9,242.65,stop,2026-02-17 05:00:00-05:00,253.9,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-17 05:00:00-05:00,2026-02-17 09:00:00-05:00,250.5,254.26,242.98,stop,2026-02-17 09:00:00-05:00,254.26,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-17 17:00:00-05:00,2026-02-18 01:00:00-05:00,254.09,257.9,246.47,target,2026-02-19 05:00:00-05:00,246.47,6,2.0
HWM,RSI 약세 다이버전스,bearish,2026-02-20 01:00:00-05:00,2026-02-20 05:00:00-05:00,252.97,256.76,245.38,stop,2026-02-20 09:00:00-05:00,256.76,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-02-24 09:00:00-05:00,2026-02-24 13:00:00-05:00,260.18,264.08,252.37,stop,2026-02-24 13:00:00-05:00,264.08,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-03-02 01:00:00-05:00,2026-03-02 05:00:00-05:00,264.99,268.96,257.04,stop,2026-03-02 05:00:00-05:00,268.96,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-04-01 14:00:00-04:00,2026-04-01 18:00:00-04:00,239.08,242.67,231.91,stop,2026-04-02 02:00:00-04:00,242.67,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-04-06 02:00:00-04:00,2026-04-06 06:00:00-04:00,234.48,238.0,227.45,stop,2026-04-06 14:00:00-04:00,238.0,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-04-08 10:00:00-04:00,2026-04-08 14:00:00-04:00,250.93,254.69,243.4,target,2026-04-09 02:00:00-04:00,243.4,2,2.0
HWM,RSI 약세 다이버전스,bearish,2026-04-09 06:00:00-04:00,2026-04-09 10:00:00-04:00,251.84,255.61,244.28,stop,2026-04-09 10:00:00-04:00,255.61,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-04-13 14:00:00-04:00,2026-04-13 18:00:00-04:00,256.5,260.35,248.8,target,2026-04-16 10:00:00-04:00,248.8,13,2.0
HWM,RSI 약세 다이버전스,bearish,2026-04-14 10:00:00-04:00,2026-04-14 14:00:00-04:00,257.58,261.45,249.86,target,2026-04-16 10:00:00-04:00,249.86,9,2.0
HWM,RSI 약세 다이버전스,bearish,2026-04-15 02:00:00-04:00,2026-04-15 06:00:00-04:00,258.0,261.87,250.26,target,2026-04-15 14:00:00-04:00,250.26,2,2.0
HWM,RSI 약세 다이버전스,bearish,2026-04-17 06:00:00-04:00,2026-04-17 10:00:00-04:00,257.71,261.58,249.98,target,2026-04-21 10:00:00-04:00,249.98,10,2.0
HWM,RSI 약세 다이버전스,bearish,2026-04-17 14:00:00-04:00,2026-04-17 18:00:00-04:00,256.0,259.84,248.32,target,2026-04-21 10:00:00-04:00,248.32,8,2.0
